Season,Transparent,Year,cap,dv
1,0,2014,394.17,12.8255
2,0,2014,394.17,11.8302
3,0,2014,394.17,12.2811
4,0,2014,394.17,12.883
1,0,2015,394.17,14.8376
2,0,2015,394.17,15.7276
3,0,2015,394.17,19.9385
4,0,2015,394.17,26.373
1,0,2016,394.17,37.1984
2,0,2016,394.17,40.785
3,0,2016,394.17,38.1862
4,0,2016,394.17,28.4393
1,0,2017,394.17,24.8119
2,0,2017,394.17,23.069000000000003
1,0,2014,214.26,12.4225
2,0,2014,214.26,10.963
3,0,2014,214.26,11.0449
4,0,2014,214.26,11.7992
1,0,2015,214.26,14.0958
2,0,2015,214.26,15.673
3,0,2015,214.26,26.533
4,0,2015,214.26,46.5375
1,0,2016,214.26,62.5156
2,0,2016,214.26,96.8912
3,0,2016,214.26,106.2986
4,0,2016,214.26,39.9072
1,0,2017,214.26,34.7157
2,0,2017,214.26,36.7822
1,0,2014,176.75,10.4351
2,0,2014,176.75,10.9324
3,0,2014,176.75,18.4509
4,0,2014,176.75,27.543000000000003
1,0,2015,176.75,32.7459
2,0,2015,176.75,36.4164
3,0,2015,176.75,43.4733
4,0,2015,176.75,92.7235
1,0,2016,176.75,131.2612
2,0,2016,176.75,205.8094
3,0,2016,176.75,190.6795
4,0,2016,176.75,51.8811
1,0,2017,176.75,68.9179
2,0,2017,176.75,60.7226
1,1,2014,144.64,14.3207
2,1,2014,144.64,14.7296
3,1,2014,144.64,31.7334
4,1,2014,144.64,42.1727
1,1,2015,144.64,43.7815
3,0,2016,144.64,1338.5132
4,0,2016,144.64,51.933
1,0,2017,144.64,29.7211
2,0,2017,144.64,32.4211
1,1,2014,127.37,12.1085
2,1,2014,127.37,11.0668
3,1,2014,127.37,21.3069
4,1,2014,127.37,31.823
1,1,2015,127.37,32.8335
2,1,2015,127.37,58.4831
3,1,2015,127.37,19.7455
4,1,2015,127.37,25.6018
1,0,2016,127.37,35.5596
2,0,2016,127.37,28.7893
3,0,2016,127.37,20.2079
4,0,2016,127.37,16.8347
1,0,2017,127.37,16.7871
2,0,2017,127.37,16.8147
1,1,2014,113.16,22.6642
2,1,2014,113.16,18.7197
3,1,2014,113.16,15.2104
4,1,2014,113.16,15.0903
1,1,2015,113.16,17.2156
2,1,2015,113.16,16.0093
3,1,2015,113.16,21.483
4,1,2015,113.16,29.1616
1,0,2016,113.16,55.8187
2,0,2016,113.16,99.4083
3,0,2016,113.16,143.0694
4,0,2016,113.16,179.4247
1,0,2017,113.16,62.8039
2,0,2017,113.16,54.2742
1,1,2014,90.61,8.9862
2,1,2014,90.61,9.423
3,1,2014,90.61,16.2953
4,1,2014,90.61,21.7086
1,1,2015,90.61,21.3753
2,1,2015,90.61,26.8878
3,1,2015,90.61,18.5878
4,1,2015,90.61,15.875
1,0,2016,90.61,21.7988
2,0,2016,90.61,16.7861
3,0,2016,90.61,14.187999999999999
4,0,2016,90.61,12.2831
1,0,2017,90.61,13.2861
2,0,2017,90.61,12.9292
1,1,2014,80.02,13.6849
2,1,2014,80.02,22.4643
3,1,2014,80.02,516.0396
4,1,2014,80.02,575.4321
1,1,2015,80.02,748.0149
2,1,2015,80.02,643.2364
4,0,2016,80.02,170.9887
1,0,2017,80.02,61.2903
2,0,2017,80.02,30.1714
1,0,2014,78.25,13.7919
2,0,2014,78.25,12.472000000000001
3,0,2014,78.25,13.0534
4,0,2014,78.25,18.6593
1,0,2015,78.25,34.264
2,0,2015,78.25,692.8333
3,0,2015,78.25,673.1867
1,0,2014,70.32,16.7002
2,0,2014,70.32,17.3018
3,0,2014,70.32,22.9468
4,0,2014,70.32,34.4016
1,0,2015,70.32,55.7455
2,0,2015,70.32,544.0004
3,0,2015,70.32,275.5327
4,0,2015,70.32,279.6804
1,0,2017,70.32,76.6994
2,0,2017,70.32,55.6717
1,1,2014,69.98,12.22
2,1,2014,69.98,13.9271
3,1,2014,69.98,19.3181
4,1,2014,69.98,116.179
1,1,2015,69.98,78.3789
2,1,2015,69.98,59.123999999999995
3,1,2016,69.98,36.2563
4,1,2016,69.98,26.5841
1,0,2017,69.98,21.7732
2,0,2017,69.98,22.0888
1,0,2014,60.23,27.1652
2,0,2014,60.23,27.0107
3,0,2014,60.23,24.8632
4,0,2014,60.23,23.6942
1,0,2015,60.23,21.7604
2,0,2015,60.23,18.5092
3,0,2015,60.23,18.909000000000002
4,0,2015,60.23,18.1309
1,0,2016,60.23,21.7233
2,0,2016,60.23,21.2798
3,0,2016,60.23,21.3283
4,0,2016,60.23,21.4859
1,0,2017,60.23,21.2049
2,0,2017,60.23,20.2678
1,1,2014,56.97,11.1454
2,1,2014,56.97,10.790999999999999
3,1,2014,56.97,9.0925
4,1,2014,56.97,8.4511
1,1,2015,56.97,9.8037
2,1,2015,56.97,8.8658
3,1,2015,56.97,8.4924
4,1,2015,56.97,7.9772
1,0,2016,56.97,8.9772
2,0,2016,56.97,8.3984
3,0,2016,56.97,9.4294
4,0,2016,56.97,9.0012
1,0,2017,56.97,9.4519
2,0,2017,56.97,9.317
1,1,2014,47.74,13.7772
2,1,2014,47.74,14.285
3,1,2014,47.74,15.3078
4,1,2014,47.74,42.632
1,1,2015,47.74,40.7468
2,1,2015,47.74,8282.6642
3,1,2015,47.74,8303.5507
4,1,2015,47.74,81.2557
1,1,2016,47.74,79.9527
3,1,2016,47.74,189.4216
4,1,2016,47.74,64.328
1,0,2017,47.74,29.0111
