Season,Transparent,Year,cap,dv
3,0,2014,394.17,16.3536
4,0,2014,394.17,14.2493
1,0,2015,394.17,11.6809
2,0,2015,394.17,9.8626
3,0,2015,394.17,7.8863
4,0,2015,394.17,6.247999999999999
1,0,2016,394.17,5.0318
2,0,2016,394.17,4.3625
3,0,2016,394.17,4.0128
4,0,2016,394.17,4.9635
1,0,2017,394.17,5.7002
2,0,2017,394.17,6.1671
1,1,2014,214.33,7.8672
2,1,2014,214.33,7.734
4,1,2015,214.33,-0.4809
1,0,2016,214.33,-1.5192
2,0,2016,214.33,2.0137
3,0,2016,214.33,2.9817
4,0,2016,214.33,3.9886
1,0,2017,214.33,4.0921
2,0,2017,214.33,5.0435
1,0,2014,214.26,11.7778
2,0,2014,214.26,11.9631
3,0,2014,214.26,10.883
4,0,2014,214.26,9.5074
1,0,2015,214.26,6.7234
2,0,2015,214.26,4.6618
3,0,2015,214.26,2.5024
4,0,2015,214.26,0.7293
1,0,2016,214.26,-0.3235
2,0,2016,214.26,-0.6908
3,0,2016,214.26,-0.1559
4,0,2016,214.26,1.6227
1,0,2017,214.26,3.176
2,0,2017,214.26,3.514
1,0,2014,176.75,9.0089
2,0,2014,176.75,8.8968
3,0,2014,176.75,7.5518
4,0,2014,176.75,5.722
1,0,2015,176.75,4.895
2,0,2015,176.75,3.5521
3,0,2015,176.75,3.1975
4,0,2015,176.75,2.0072
1,0,2016,176.75,2.441
2,0,2016,176.75,2.2356
3,0,2016,176.75,2.362
4,0,2016,176.75,3.5992
1,0,2017,176.75,2.6294
2,0,2017,176.75,2.9053
1,1,2014,144.64,7.0466
2,1,2014,144.64,5.7704
3,1,2014,144.64,3.0139
4,1,2014,144.64,2.372
1,1,2015,144.64,-2.8613
2,1,2015,144.64,-3.6342
3,1,2015,144.64,-3.2030000000000003
4,1,2015,144.64,-5.1295
1,0,2016,144.64,-2.3871
2,0,2016,144.64,-1.4269
3,0,2016,144.64,1.0851
4,0,2016,144.64,2.415
1,0,2017,144.64,3.4005
2,0,2017,144.64,3.2757
1,1,2014,127.37,9.5897
2,1,2014,127.37,9.2504
3,1,2014,127.37,3.9071
4,1,2014,127.37,1.9522
1,1,2015,127.37,2.213
2,1,2015,127.37,1.1321
3,1,2015,127.37,3.7461
4,1,2015,127.37,3.175
1,0,2016,127.37,2.4032
2,0,2016,127.37,2.7446
3,0,2016,127.37,4.7114
4,0,2016,127.37,5.2604
1,0,2017,127.37,5.1433
2,0,2017,127.37,5.6222
1,1,2014,113.16,13.4691
2,1,2014,113.16,13.7544
3,1,2014,113.16,11.0981
4,1,2014,113.16,9.9633
1,1,2015,113.16,8.8319
2,1,2015,113.16,7.0867
3,1,2015,113.16,4.5008
4,1,2015,113.16,3.6579
1,0,2016,113.16,-2.2573
2,0,2016,113.16,-3.645
3,0,2016,113.16,-2.1655
4,0,2016,113.16,-2.5456
1,0,2017,113.16,0.8656
2,0,2017,113.16,1.5776
1,1,2014,90.61,8.5946
2,1,2014,90.61,8.0914
3,1,2014,90.61,5.8919
4,1,2014,90.61,4.1594
1,1,2015,90.61,5.1796
1,1,2014,80.02,6.5514
2,1,2014,80.02,3.5236
3,1,2014,80.02,1.604
4,1,2014,80.02,0.6848
1,1,2015,80.02,-0.5143
2,1,2015,80.02,-4.265
3,1,2015,80.02,-10.3602
4,1,2015,80.02,-6.6374
1,0,2016,80.02,-6.9056
2,0,2016,80.02,-7.4099
3,0,2016,80.02,-10.6993
4,0,2016,80.02,0.9653
1,0,2017,80.02,2.5184
2,0,2017,80.02,4.8736
1,0,2014,78.25,13.0364
2,0,2014,78.25,13.1473
3,0,2014,78.25,9.8512
4,0,2014,78.25,7.6434
1,0,2015,78.25,4.699
2,0,2015,78.25,-0.5766
3,0,2015,78.25,-5.3977
4,0,2015,78.25,-7.784
1,0,2016,78.25,-8.9619
2,0,2016,78.25,-9.2125
3,0,2016,78.25,-4.3146
4,0,2016,78.25,-1.0277
1,0,2017,78.25,-5.0542
2,0,2017,78.25,-2.8019
1,1,2014,74.32,13.1575
2,1,2014,74.32,9.1732
3,1,2014,74.32,4.0834
4,1,2014,74.32,-7.6754
1,0,2015,74.32,-8.8534
2,0,2015,74.32,-9.1088
3,0,2015,74.32,-16.7615
4,0,2015,74.32,0.7639
1,0,2016,74.32,-2.0661
2,0,2016,74.32,-2.3808
3,0,2016,74.32,-3.051
4,0,2016,74.32,-5.2022
1,0,2017,74.32,-1.1725
2,0,2017,74.32,-1.2585
1,1,2014,71.37,11.0658
2,1,2014,71.37,8.0234
3,1,2014,71.37,7.0955
4,1,2014,71.37,6.8194
1,1,2015,71.37,6.4011
2,1,2015,71.37,8.4228
3,1,2015,71.37,7.7051
4,1,2015,71.37,7.0831
1,0,2016,71.37,6.5966
2,0,2016,71.37,5.0944
3,0,2016,71.37,4.658
4,0,2016,71.37,4.9441
1,0,2017,71.37,4.8691
1,1,2014,70.96,5.132999999999999
2,1,2014,70.96,3.6531
3,1,2014,70.96,-1.796
4,1,2014,70.96,-1.7649
1,1,2015,70.96,-2.222
2,1,2015,70.96,-1.7845
3,1,2015,70.96,-2.8362
4,1,2015,70.96,-3.3066
1,0,2016,70.96,-3.2238
2,0,2016,70.96,-4.5847
3,0,2016,70.96,0.6832
4,0,2016,70.96,1.4675
1,0,2017,70.96,-19.5967
1,0,2014,70.32,12.1875
2,0,2014,70.32,11.097000000000001
3,0,2014,70.32,1.2928
4,0,2014,70.32,-2.0617
1,0,2015,70.32,-4.7742
2,0,2015,70.32,-13.2231
3,0,2015,70.32,-20.776999999999997
4,0,2015,70.32,-20.5041
1,0,2016,70.32,-21.0431
2,0,2016,70.32,-15.4255
3,0,2016,70.32,-1.2352
4,0,2016,70.32,-1.0999
1,0,2017,70.32,0.9678
2,0,2017,70.32,2.4628
1,0,2014,60.23,10.975999999999999
2,0,2014,60.23,10.982999999999999
3,0,2014,60.23,10.148
4,0,2014,60.23,9.5346
1,0,2015,60.23,9.2046
2,0,2015,60.23,8.9461
3,0,2015,60.23,8.3717
4,0,2015,60.23,8.2594
1,0,2016,60.23,8.137
2,0,2016,60.23,7.9915
3,0,2016,60.23,7.9246
4,0,2016,60.23,8.0538
1,0,2017,60.23,8.2021
1,1,2014,56.97,7.7183
2,1,2014,56.97,7.4236
3,1,2014,56.97,6.8525
4,1,2014,56.97,6.4487
1,1,2015,56.97,6.4641
2,1,2015,56.97,6.7587
3,1,2015,56.97,7.0649
4,1,2015,56.97,7.1325
1,0,2016,56.97,7.4778
2,0,2016,56.97,7.8358
3,0,2016,56.97,7.1123
4,0,2016,56.97,7.7217
1,0,2017,56.97,7.4705
1,1,2014,47.74,8.125
2,1,2014,47.74,6.5416
3,1,2014,47.74,5.8261
4,1,2014,47.74,2.3142
1,1,2015,47.74,3.3484
2,1,2015,47.74,0.3351
3,1,2015,47.74,-2.481
4,1,2015,47.74,-1.2443
1,1,2016,47.74,-3.6661
2,1,2016,47.74,-2.5203
3,1,2016,47.74,1.9214
4,1,2016,47.74,3.753
1,0,2017,47.74,5.5594
2,0,2017,47.74,7.1208
2,1,2015,42.36,8.1248
4,1,2015,42.36,8.2028
2,0,2016,42.36,7.6312
4,0,2016,42.36,7.4365
2,0,2017,42.36,8.142000000000001
1,1,2014,41.76,8.3279
2,1,2014,41.76,6.5173
3,0,2016,41.76,5.9455
4,0,2016,41.76,6.3420000000000005
1,0,2017,41.76,8.1738
1,0,2014,41.03,14.9044
2,0,2014,41.03,16.7343
3,0,2014,41.03,16.6283
4,0,2014,41.03,11.2934
1,0,2015,41.03,7.9369
2,0,2015,41.03,2.3562
3,0,2015,41.03,-1.3313
4,0,2015,41.03,-8.0904
1,0,2016,41.03,-22.9
2,0,2016,41.03,-22.8957
3,0,2016,41.03,-20.1849
4,0,2016,41.03,-11.8748
1,0,2017,41.03,1.5193
2,0,2017,41.03,3.6005
1,0,2014,39.34,-6.6409
2,0,2014,39.34,-3.8672
3,0,2014,39.34,-64.0753
4,0,2014,39.34,-4.6931
1,0,2015,39.34,-5.1369
2,0,2015,39.34,-14.5393
3,0,2015,39.34,-18.314
4,0,2015,39.34,-11.6502
1,0,2016,39.34,-14.4428
2,0,2016,39.34,-10.2432
3,0,2016,39.34,-7.1983
4,0,2016,39.34,-4.7122
1,0,2017,39.34,-4.0426
2,0,2017,39.34,-3.6177
1,1,2014,35.36,9.2723
2,1,2014,35.36,8.7968
