EITI,EITIefficiency,Year,cc,dv,region,rq
1,3.1622776601683795,2013.0,9.95,10.58,Africa,18.96
1,3.1622776601683795,2014.0,10.58,12.98,Africa,19.71
1,3.1622776601683795,2015.0,12.98,11.06,Africa,16.83
1,2.5,2014.0,6.25,5.29,Africa,10.58
1,2.5,2015.0,5.29,4.81,Africa,9.13
1,2.5,2010.0,57.62,57.35,Africa,54.55
1,2.5,2011.0,57.35,54.98,Africa,55.45
1,2.5,2012.0,54.98,55.45,Africa,56.4
1,2.5,2013.0,55.45,52.4,Africa,55.45
1,2.5,2014.0,52.4,52.88,Africa,53.37
1,2.5,2015.0,52.88,50.96,Africa,53.85
1,1.5811388300841898,2014.0,27.4,25.0,America,47.12
1,1.5811388300841898,2015.0,25.0,25.48,America,47.12
1,3.640054944640259,2014.0,13.46,14.42,Africa,13.94
1,3.640054944640259,2015.0,14.42,14.9,Africa,20.19
1,2.23606797749979,2014.0,33.65,39.42,Asia&Oceania,50.0
1,2.23606797749979,2015.0,39.42,42.79,Asia&Oceania,46.63
1,1.118033988749895,2012.0,9.48,7.58,Asia&Oceania,9.48
1,1.118033988749895,2013.0,7.58,5.77,Asia&Oceania,9.48
1,1.118033988749895,2014.0,5.77,4.81,Asia&Oceania,8.65
1,1.118033988749895,2015.0,4.81,6.25,Asia&Oceania,7.21
0,2.5,2011.0,7.58,11.37,Asia&Oceania,45.97
0,2.5,2012.0,11.37,10.43,Asia&Oceania,41.23
0,2.5,2013.0,10.43,12.02,Asia&Oceania,42.18
0,2.5,2014.0,12.02,11.06,Asia&Oceania,35.1
0,2.5,2015.0,11.06,12.02,Asia&Oceania,34.62
1,0.7071067811865476,2009.0,31.58,32.86,Africa,9.57
1,0.7071067811865476,2010.0,32.86,27.49,Africa,14.83
1,0.7071067811865476,2011.0,27.49,32.7,Africa,13.27
1,0.7071067811865476,2012.0,32.7,26.54,Africa,14.22
1,0.7071067811865476,2013.0,26.54,24.04,Africa,21.8
1,0.7071067811865476,2014.0,24.04,29.81,Africa,21.15
1,0.7071067811865476,2015.0,29.81,26.44,Africa,21.15
1,2.0615528128088303,2011.0,29.86,22.27,Africa,36.97
1,2.0615528128088303,2012.0,22.27,22.27,Africa,37.44
1,2.0615528128088303,2013.0,22.27,26.44,Africa,33.65
1,2.0615528128088303,2014.0,26.44,27.4,Africa,29.81
1,2.0615528128088303,2015.0,27.4,29.81,Africa,30.29
1,2.692582403567252,2012.0,24.17,21.8,Africa,28.44
1,2.692582403567252,2013.0,21.8,16.83,Africa,27.49
1,2.692582403567252,2014.0,16.83,17.31,Africa,24.04
1,2.692582403567252,2015.0,17.31,21.63,Africa,20.67
1,1.5811388300841898,2010.0,25.24,26.07,Asia&Oceania,44.02
1,1.5811388300841898,2011.0,26.07,35.55,Asia&Oceania,44.08
1,1.5811388300841898,2012.0,35.55,38.39,Asia&Oceania,45.5
1,1.5811388300841898,2013.0,38.39,37.02,Asia&Oceania,41.71
1,1.5811388300841898,2014.0,37.02,37.5,Asia&Oceania,44.71
1,1.5811388300841898,2015.0,37.5,35.58,Asia&Oceania,41.83
1,1.5811388300841898,2012.0,34.6,34.12,Africa,36.02
1,1.5811388300841898,2013.0,34.12,29.33,Africa,36.97
1,1.5811388300841898,2014.0,29.33,24.52,Africa,37.02
1,1.5811388300841898,2015.0,24.52,18.27,Africa,35.1
0,2.23606797749979,2011.0,29.38,30.81,Africa,33.18
0,2.23606797749979,2012.0,30.81,33.18,Africa,30.33
0,2.23606797749979,2013.0,33.18,28.85,Africa,31.28
0,2.23606797749979,2014.0,28.85,30.77,Africa,26.92
0,2.23606797749979,2015.0,30.77,31.25,Africa,26.44
1,3.5355339059327378,2011.0,10.9,10.9,Africa,27.01
1,3.5355339059327378,2012.0,10.9,9.48,Africa,26.07
1,3.5355339059327378,2013.0,9.48,8.17,Africa,27.01
1,3.5355339059327378,2014.0,8.17,12.5,Africa,23.56
1,3.5355339059327378,2015.0,12.5,13.46,Africa,21.63
1,3.0413812651491097,2014.0,15.87,22.6,Africa,24.52
1,3.0413812651491097,2015.0,22.6,20.19,Africa,18.75
1,1.5811388300841898,2012.0,25.59,22.75,Africa,37.91
1,1.5811388300841898,2013.0,22.75,25.48,Africa,41.23
1,1.5811388300841898,2014.0,25.48,27.88,Africa,41.35
1,1.5811388300841898,2015.0,27.88,35.1,Africa,40.38
1,1.5811388300841898,2013.0,15.17,18.27,Africa,20.38
1,1.5811388300841898,2014.0,18.27,25.48,Africa,22.6
1,1.5811388300841898,2015.0,25.48,28.37,Africa,23.08
1,1.5811388300841898,2012.0,47.87,46.45,Africa,36.97
1,1.5811388300841898,2013.0,46.45,45.19,Africa,34.6
1,1.5811388300841898,2014.0,45.19,46.15,Africa,32.69
1,1.5811388300841898,2015.0,46.15,42.31,Africa,36.54
