"","Transparent","Year","cap","dv"
"1",1,2014,"169,280,000,000",20.1199
"2",1,2015,"169,280,000,000",16.3377
"3",1,2014,"98,040,000,000",8.2255
"4",1,2015,"98,040,000,000",15.1778
"5",1,2014,"70,190,000,000",68.684
"6",1,2014,"67,000,000,000",7.3965
"7",0,2014,"45,417,000,000",11.4946
"8",0,2015,"45,417,000,000",10.4368
"9",0,2014,"32,120,000,000",3.0173
"10",0,2015,"32,120,000,000",30.7461
"11",1,2015,"29,990,160,000",11.5485
"12",1,2015,"29,220,000,000",11.9351
"13",0,2014,"26,078,650,000",15.2227
"14",0,2015,"26,078,650,000",17.6196
"15",1,2014,"25,610,000,000",12.4097
"16",1,2015,"25,610,000,000",1521.5726
"17",0,2014,"25,270,520,000",14.5994
"18",0,2015,"25,270,520,000",20.2977
"19",0,2014,"23,420,000,000",27.1087
"20",0,2015,"23,420,000,000",31.9507
"21",1,2014,"22,279,659,870",252.5498
"22",1,2015,"22,279,659,870",30.8798
"23",1,2014,"21,360,000,000",90.2439
"24",1,2014,"20,400,000,000",84.2111
"25",1,2015,"20,400,000,000",46.9433
"26",0,2014,"14,940,000,000",45.4175
"27",0,2015,"14,940,000,000",23.619
"28",0,2014,"14,435,728,000",4.314
"29",0,2015,"14,435,728,000",6.3162
"30",1,2014,"13,821,552,000",16.3536
"31",1,2015,"13,821,552,000",68.8667
"32",1,2014,"13,710,000,000",26.0116
"33",1,2015,"13,710,000,000",13.8919
"34",0,2014,"12,997,281,660",36.6327
"35",0,2015,"12,997,281,660",23.7019
"36",0,2014,"12,530,000,000",3.4856
"37",0,2015,"12,530,000,000",5.8242
"38",0,2014,"12,260,000,000",15.8104
"39",0,2015,"12,260,000,000",20.6639
"40",1,2014,"11,580,000,000",4.0701
"41",0,2014,"11,218,740,000",32.8992
"42",0,2015,"11,218,740,000",14.8544
"43",1,2014,"10,540,000,000",18.3094
"44",1,2015,"10,540,000,000",55.5758
"45",1,2014,"10,310,000,000",6.3408
"46",1,2015,"10,310,000,000",29.7299
"47",0,2014,"10,300,450,560",93
"48",0,2015,"10,300,450,560",11.5455
"49",0,2014,"9,920,000,000",60.196
"50",0,2015,"9,920,000,000",37.0842
"51",1,2014,"9,470,000,000",108.6633
"52",1,2015,"9,470,000,000",26.0332
"53",1,2014,"9,460,000,000",33.4646
"54",0,2015,"9,460,000,000",13.1949
"55",0,2015,"8,820,000,000",11.621
"56",0,2014,"8,728,725,500",13.9885
"57",0,2015,"8,728,725,500",15.3447
"58",0,2014,"8,650,000,000",9.8431
"59",0,2014,"8,458,426,900",7.5659
"60",0,2015,"8,458,426,900",12.9776
"61",1,2014,"8,100,000,000",19.4849
"62",1,2015,"8,100,000,000",23.1129
"63",0,2014,"7,889,628,110",14.8936
"64",0,2015,"7,889,628,110",9.9302
"65",1,2014,"7,780,000,000",23.4446
"66",1,2015,"7,780,000,000",31.3704
"67",0,2014,"7,650,679,040",38.4641
"68",0,2015,"7,650,679,040",40.3493
"69",0,2014,"7,360,000,000",251.2708
"70",0,2015,"7,360,000,000",25.3352
"71",1,2015,"7,040,000,000",14.6282
"72",0,2014,"6,950,652,000",21.8363
"73",0,2015,"6,950,652,000",36.3543
"74",0,2014,"6,715,892,700",9.5518
"75",0,2015,"6,715,892,700",8.258
"76",1,2014,"6,550,000,000",30.0704
"77",1,2015,"6,550,000,000",29.9974
"78",0,2014,"6,310,000,000",208.6667
"79",0,2015,"6,310,000,000",352.25
"80",0,2014,"6,240,528,000",9.3189
"81",0,2015,"6,240,528,000",13.3874
"82",1,2014,"6,082,200,000",74.907
"83",1,2015,"6,082,200,000",19.3737
"84",1,2015,"5,710,000,000",41.1457
"85",1,2014,"5,648,760,000",8.3879
"86",0,2014,"5,599,819,280",5.5726
"87",0,2015,"5,599,819,280",11.4538
"88",0,2014,"5,436,470,000",16.2734
"89",1,2014,"5,420,000,000",136.7793
"90",1,2015,"5,420,000,000",130.7949
"91",0,2014,"5,380,000,000",18.3657
"92",0,2015,"5,380,000,000",7.9592
"93",1,2015,"5,270,000,000",30.5701
"94",0,2014,"5,268,194,560",50
"95",0,2015,"5,268,194,560",1073.0769
"96",0,2014,"5,240,000,000",12.6609
"97",0,2015,"5,240,000,000",17.8022
"98",0,2014,"5,050,000,000",197.22
"99",0,2015,"5,050,000,000",10.5574
"100",1,2014,"4,929,690,000",8.2649
"101",1,2015,"4,929,690,000",5.4232
"102",1,2014,"4,920,000,000",11.8151
"103",0,2014,"4,780,000,000",9.6368
"104",0,2015,"4,780,000,000",6.874
"105",0,2014,"4,740,000,000",215.1311
"106",0,2015,"4,740,000,000",143.1992
"107",0,2014,"4,710,000,000",21.2411
"108",0,2015,"4,710,000,000",24.861
"109",1,2014,"4,580,000,000",20.3504
"110",1,2015,"4,580,000,000",424.7978
"111",0,2014,"4,560,000,000",5.5439
"112",0,2014,"4,390,000,000",20.8738
"113",0,2015,"4,390,000,000",18.5019
"114",0,2014,"4,210,000,000",8.7955
"115",0,2015,"4,210,000,000",5.8492
"116",1,2014,"4,020,000,000",14.8083
"117",1,2015,"4,020,000,000",15.3583
"118",0,2014,"3,990,183,120",9.6499
"119",0,2014,"3,870,712,320",310.1645
"120",0,2015,"3,870,712,320",109.9091
"121",0,2014,"3,869,062,400",46.2537
"122",0,2015,"3,869,062,400",47.4156
"123",1,2014,"3,770,000,000",4.6154
"124",1,2015,"3,770,000,000",9.0494
"125",1,2014,"3,704,640,000",16.5616
"126",1,2015,"3,704,640,000",11.3494
"127",1,2014,"3,650,000,000",37.3978
"128",1,2015,"3,650,000,000",42.4973
"129",0,2014,"3,650,000,000",101.0084
"130",0,2015,"3,650,000,000",13.9251
"131",0,2014,"3,640,000,000",1.3243
"132",0,2014,"3,555,018,000",6.5406
"133",0,2015,"3,555,018,000",6.3582
"134",0,2014,"3,550,000,000",26.3656
"135",0,2015,"3,550,000,000",18.3439
"136",0,2014,"3,464,832,000",27.76
"137",0,2014,"3,445,032,960",828
"138",0,2015,"3,445,032,960",382.5
"139",0,2014,"3,338,464,470",3.3174
"140",0,2014,"3,299,840,000",214
"141",0,2015,"3,299,840,000",27.7586
"142",0,2014,"3,240,000,000",44.571
"143",0,2014,"3,189,081,000",47.8906
"144",0,2015,"3,189,081,000",56.7969
"145",0,2014,"3,147,939,080",86.0749
"146",0,2015,"3,147,939,080",16.8203
"147",0,2014,"3,115,048,960",135.7143
"148",0,2015,"3,115,048,960",61.4379
"149",1,2015,"2,950,000,000",86.8086
"150",1,2014,"2,880,000,000",1.3654
"151",1,2015,"2,880,000,000",8.5397
