"","Transparent","Year","cap","dv"
"1",1,2014,"169,280,000,000",-5.6642
"2",1,2015,"169,280,000,000",7.2071
"3",1,2014,"98,040,000,000",-1.1121
"4",1,2015,"98,040,000,000",8.6144
"5",1,2014,"70,190,000,000",-17.7182
"6",1,2014,"67,000,000,000",-7.2316
"7",1,2015,"67,000,000,000",2.9199
"8",0,2014,"45,417,000,000",6.0135
"9",0,2015,"45,417,000,000",7.4384
"10",0,2014,"32,120,000,000",-31.2926
"11",0,2015,"32,120,000,000",-12.316
"12",1,2014,"29,990,160,000",-11.7283
"13",1,2015,"29,990,160,000",6.3744
"14",1,2014,"29,220,000,000",-13.1521
"15",1,2015,"29,220,000,000",5.3155
"16",0,2014,"26,078,650,000",3.1267
"17",0,2015,"26,078,650,000",3.0766
"18",1,2014,"25,610,000,000",-0.6737
"19",1,2015,"25,610,000,000",0.5578
"20",0,2014,"25,270,520,000",37.0951
"21",0,2015,"25,270,520,000",28.9596
"22",0,2014,"24,370,000,000",17.8373
"23",0,2015,"24,370,000,000",25.5206
"24",0,2014,"23,420,000,000",8.1764
"25",0,2015,"23,420,000,000",8.2642
"26",1,2014,"22,279,659,870",-11.2743
"27",1,2015,"22,279,659,870",6.0912
"28",1,2014,"21,360,000,000",-0.721
"29",1,2014,"20,400,000,000",-22.3053
"30",1,2015,"20,400,000,000",1.483
"31",0,2014,"14,940,000,000",2.6888
"32",0,2015,"14,940,000,000",8.2578
"33",0,2014,"14,435,728,000",8.892
"34",0,2015,"14,435,728,000",16.3116
"35",1,2014,"13,821,552,000",6.5842
"36",1,2015,"13,821,552,000",2.3357
"37",1,2014,"13,710,000,000",-8.6957
"38",1,2015,"13,710,000,000",4.5017
"39",0,2014,"12,997,281,660",1.7275
"40",0,2015,"12,997,281,660",3.6804
"41",0,2014,"12,530,000,000",2.6678
"42",0,2015,"12,530,000,000",30.651
"43",0,2014,"12,260,000,000",-3.1851
"44",0,2015,"12,260,000,000",-1.8012
"45",1,2014,"11,580,000,000",-6.519
"46",0,2014,"11,218,740,000",1.2888
"47",0,2015,"11,218,740,000",2.4591
"48",1,2014,"10,540,000,000",2.0482
"49",1,2015,"10,540,000,000",-4.0281
"50",1,2014,"10,310,000,000",-1.9656
"51",1,2015,"10,310,000,000",2.3426
"52",0,2014,"10,300,450,560",0.5701
"53",0,2015,"10,300,450,560",5.4811
"54",0,2014,"9,920,000,000",-19.4612
"55",0,2015,"9,920,000,000",2.9529
"56",1,2014,"9,470,000,000",2.5886
"57",1,2015,"9,470,000,000",13.2258
"58",1,2014,"9,460,000,000",2.8538
"59",0,2015,"9,460,000,000",7.481
"60",1,2014,"9,100,000,000",26.1166
"61",1,2015,"9,100,000,000",35.8747
"62",0,2014,"8,820,000,000",-9.281
"63",0,2015,"8,820,000,000",9.0937
"64",1,2014,"8,754,370,625",12.2062
"65",1,2015,"8,754,370,625",12.1472
"66",0,2014,"8,728,725,500",8.213
"67",0,2015,"8,728,725,500",9.5896
"68",0,2014,"8,650,000,000",-2.7409
"69",0,2015,"8,650,000,000",-9.3601
"70",0,2014,"8,458,426,900",20.2742
"71",0,2015,"8,458,426,900",22.2674
"72",1,2014,"8,100,000,000",1.6969
"73",1,2015,"8,100,000,000",-0.0763
"74",0,2014,"7,889,628,110",-0.0378
"75",0,2015,"7,889,628,110",5.6008
"76",1,2014,"7,780,000,000",-3.105
"77",1,2015,"7,780,000,000",3.6242
"78",0,2014,"7,650,679,040",1.7688
"79",0,2015,"7,650,679,040",2.1526
"80",0,2014,"7,360,000,000",0.5295
"81",0,2015,"7,360,000,000",3.192
"82",1,2014,"7,040,000,000",-24.8805
"83",1,2015,"7,040,000,000",-1.671
"84",0,2014,"6,950,652,000",4.3168
"85",0,2015,"6,950,652,000",4.1162
"86",0,2014,"6,720,000,000",-3.1972
"87",0,2014,"6,715,892,700",7.2294
"88",0,2015,"6,715,892,700",6.9475
"89",1,2014,"6,638,171,254",13.8519
"90",1,2015,"6,638,171,254",36.1417
"91",1,2014,"6,550,000,000",6.2849
"92",1,2015,"6,550,000,000",8.1514
"93",0,2014,"6,310,000,000",0.6025
"94",0,2015,"6,310,000,000",-12.0542
"95",0,2014,"6,240,528,000",9.8349
"96",0,2015,"6,240,528,000",7.199
"97",1,2014,"6,082,200,000",2.349
"98",1,2015,"6,082,200,000",6.9727
"99",1,2014,"5,710,000,000",-0.5162
"100",1,2015,"5,710,000,000",2.4881
"101",1,2014,"5,648,760,000",3.8483
"102",0,2014,"5,599,819,280",2.2129
"103",0,2015,"5,599,819,280",-3.8506
"104",0,2014,"5,436,470,000",10.0769
"105",1,2014,"5,420,000,000",0.7829
"106",1,2015,"5,420,000,000",3.5717
"107",0,2014,"5,380,000,000",1.1232
"108",0,2015,"5,380,000,000",12.0195
"109",1,2014,"5,270,000,000",-14.6026
"110",1,2015,"5,270,000,000",-0.5968
"111",0,2014,"5,268,194,560",-3.0514
"112",0,2015,"5,268,194,560",0.2588
"113",0,2014,"5,240,000,000",6.0787
"114",0,2015,"5,240,000,000",6.1776
"115",0,2014,"5,050,000,000",1.7276
"116",0,2015,"5,050,000,000",4.6993
"117",1,2014,"4,929,690,000",9.2771
"118",1,2015,"4,929,690,000",15.2319
"119",1,2014,"4,920,000,000",-14.415
"120",0,2014,"4,780,000,000",1.1827
"121",0,2015,"4,780,000,000",15.118
"122",0,2014,"4,740,000,000",2.9268
"123",0,2015,"4,740,000,000",3.161
"124",0,2014,"4,710,000,000",3.4343
"125",0,2015,"4,710,000,000",4.1978
"126",1,2014,"4,580,000,000",-30.6409
"127",1,2015,"4,580,000,000",-8.0175
"128",0,2014,"4,560,000,000",-1.4734
"129",0,2015,"4,560,000,000",-0.643
"130",0,2014,"4,480,000,000",-21.2485
"131",0,2015,"4,480,000,000",-6.7404
"132",0,2014,"4,390,000,000",-4.8139
"133",0,2015,"4,390,000,000",3.9084
"134",0,2014,"4,210,000,000",-1.6485
"135",0,2015,"4,210,000,000",6.0449
"136",1,2014,"4,020,000,000",8.7568
"137",1,2015,"4,020,000,000",12.3784
"138",0,2014,"3,990,183,120",-3.5984
"139",0,2015,"3,990,183,120",-1.3309
"140",0,2014,"3,870,712,320",1.4275
"141",0,2015,"3,870,712,320",2.985
"142",0,2014,"3,869,062,400",6.5228
"143",0,2015,"3,869,062,400",8.3338
"144",1,2014,"3,770,000,000",17.7977
"145",1,2015,"3,770,000,000",20.0052
"146",1,2014,"3,704,640,000",13.0418
"147",1,2015,"3,704,640,000",20.8015
"148",0,2014,"3,650,000,000",0.606
"149",0,2015,"3,650,000,000",3.0915
"150",0,2014,"3,640,000,000",-23.3496
"151",0,2015,"3,640,000,000",-5.3396
"152",0,2014,"3,614,644,000",-1.156
"153",0,2015,"3,614,644,000",-0.0314
"154",1,2014,"3,610,000,000",-10.6525
"155",1,2015,"3,610,000,000",6.7535
"156",0,2014,"3,555,018,000",6.404
"157",0,2015,"3,555,018,000",8.6681
"158",0,2014,"3,550,000,000",-0.8045
"159",0,2015,"3,550,000,000",8.6228
"160",0,2014,"3,464,832,000",-8.1983
"161",0,2014,"3,445,032,960",0.2817
"162",0,2015,"3,445,032,960",0.5398
"163",0,2014,"3,338,464,470",-6.9754
"164",0,2014,"3,299,840,000",-0.7009
"165",0,2015,"3,299,840,000",3.0858
"166",0,2014,"3,240,000,000",-7.4024
"167",0,2015,"3,240,000,000",-15.5572
"168",0,2014,"3,189,081,000",4.0558
"169",0,2015,"3,189,081,000",-13.3672
"170",0,2014,"3,147,939,080",-21.0354
"171",0,2015,"3,147,939,080",4.8783
"172",0,2014,"3,115,048,960",2.5776
"173",0,2015,"3,115,048,960",2.7511
"174",1,2014,"2,950,000,000",-5.2644
"175",1,2015,"2,950,000,000",1.475
"176",0,2014,"2,910,000,000",-8.6779
"177",0,2015,"2,910,000,000",-7.9897
"178",1,2014,"2,807,040,000",-67.354
"179",1,2015,"2,807,040,000",-21.0128
"180",0,2014,"2,720,718,080",-3.8597
"181",0,2015,"2,720,718,080",-20.7402
"182",1,2014,"2,610,000,000",-19.6834
"183",1,2015,"2,610,000,000",-2.7066
"184",1,2014,"2,600,000,000",-5.3524
"185",1,2015,"2,600,000,000",5.532
