EITI,EITIefficiency,Year,cc,fd,rq
1,3.1622776601683795,2013.0,9.95,725000000.0,18.96
1,3.1622776601683795,2014.0,10.58,694000000.0,19.71
1,3.1622776601683795,2015.0,12.98,128000000.0,16.83
1,2.5,2014.0,6.25,600000000.0,10.58
1,2.5,2015.0,5.29,560000000.0,9.13
1,2.5,2010.0,57.62,3250000000.0,54.55
1,2.5,2011.0,57.35,3300000000.0,55.45
1,2.5,2012.0,54.98,3230000000.0,56.4
1,2.5,2013.0,55.45,3360000000.0,55.45
1,2.5,2014.0,52.4,3190000000.0,53.37
1,2.5,2015.0,52.88,3490000000.0,53.85
1,1.5811388300841898,2014.0,27.4,1180000000.0,47.12
1,1.5811388300841898,2015.0,25.0,1160000000.0,47.12
1,3.640054944640259,2014.0,13.46,-53167637.0,13.94
1,3.640054944640259,2015.0,14.42,1510000000.0,20.19
1,2.23606797749979,2014.0,33.65,19800000000.0,50.0
1,2.23606797749979,2015.0,39.42,3760000000.0,46.63
1,1.118033988749895,2012.0,9.48,5130000000.0,9.48
1,1.118033988749895,2013.0,7.58,4780000000.0,9.48
1,1.118033988749895,2014.0,5.77,3320000000.0,8.65
1,1.118033988749895,2015.0,4.81,146000000.0,7.21
0,2.5,2011.0,7.58,324000000.0,45.97
0,2.5,2012.0,11.37,640000000.0,41.23
0,2.5,2013.0,10.43,353000000.0,42.18
0,2.5,2014.0,12.02,1420000000.0,35.1
0,2.5,2015.0,11.06,466000000.0,34.62
1,0.7071067811865476,2009.0,31.58,452000000.0,9.57
1,0.7071067811865476,2010.0,32.86,1310000000.0,14.83
1,0.7071067811865476,2011.0,27.49,647000000.0,13.27
1,0.7071067811865476,2012.0,32.7,700000000.0,14.22
1,0.7071067811865476,2013.0,26.54,720000000.0,21.8
1,0.7071067811865476,2014.0,24.04,721000000.0,21.15
1,0.7071067811865476,2015.0,29.81,453000000.0,21.15
1,2.0615528128088303,2011.0,29.86,398000000.0,36.97
1,2.0615528128088303,2012.0,22.27,308000000.0,37.44
1,2.0615528128088303,2013.0,22.27,144000000.0,33.65
1,2.0615528128088303,2014.0,26.44,275000000.0,29.81
1,2.0615528128088303,2015.0,27.4,126000000.0,30.29
1,2.692582403567252,2012.0,24.17,1130000000.0,28.44
1,2.692582403567252,2013.0,21.8,503000000.0,27.49
1,2.692582403567252,2014.0,16.83,502000000.0,24.04
1,2.692582403567252,2015.0,17.31,271000000.0,20.67
1,1.5811388300841898,2010.0,25.24,4570000000.0,44.02
1,1.5811388300841898,2011.0,26.07,4270000000.0,44.08
1,1.5811388300841898,2012.0,35.55,2060000000.0,45.5
1,1.5811388300841898,2013.0,38.39,338000000.0,41.71
1,1.5811388300841898,2014.0,37.02,94319767.0,44.71
1,1.5811388300841898,2015.0,37.5,-4160000000.0,41.83
1,1.5811388300841898,2012.0,34.6,6700000000.0,36.02
1,1.5811388300841898,2013.0,34.12,5000000000.0,36.97
1,1.5811388300841898,2014.0,29.33,3870000000.0,37.02
1,1.5811388300841898,2015.0,24.52,3130000000.0,35.1
0,2.23606797749979,2011.0,29.38,851000000.0,33.18
0,2.23606797749979,2012.0,30.81,719000000.0,30.33
0,2.23606797749979,2013.0,33.18,822000000.0,31.28
0,2.23606797749979,2014.0,28.85,525000000.0,26.92
0,2.23606797749979,2015.0,30.77,293000000.0,26.44
1,3.5355339059327378,2011.0,10.9,7070000000.0,27.01
1,3.5355339059327378,2012.0,10.9,5560000000.0,26.07
1,3.5355339059327378,2013.0,9.48,4660000000.0,27.01
1,3.5355339059327378,2014.0,8.17,3130000000.0,23.56
1,3.5355339059327378,2015.0,12.5,4450000000.0,21.63
1,3.0413812651491097,2014.0,15.87,263000000.0,24.52
1,3.0413812651491097,2015.0,22.6,516000000.0,18.75
1,1.5811388300841898,2012.0,25.59,2090000000.0,37.91
1,1.5811388300841898,2013.0,22.75,2050000000.0,41.23
1,1.5811388300841898,2014.0,25.48,1960000000.0,41.35
1,1.5811388300841898,2015.0,27.88,1370000000.0,40.38
1,1.5811388300841898,2013.0,15.17,53948490.0,20.38
1,1.5811388300841898,2014.0,18.27,258000000.0,22.6
1,1.5811388300841898,2015.0,25.48,255000000.0,23.08
1,1.5811388300841898,2012.0,47.87,2100000000.0,36.97
1,1.5811388300841898,2013.0,46.45,1510000000.0,34.6
1,1.5811388300841898,2014.0,45.19,1580000000.0,32.69
1,1.5811388300841898,2015.0,46.15,1580000000.0,36.54
