EITI,EITIefficiency,Year,cc,dv,region,rq
1,3.1622776601683795,2013.0,9.95,2.261687,Africa,18.96
1,3.1622776601683795,2014.0,10.58,2.4424930000000002,Africa,19.71
1,3.1622776601683795,2015.0,12.98,0.5296644,Africa,16.83
1,2.5,2014.0,6.25,5.512269,Africa,10.58
1,2.5,2015.0,5.29,5.831387,Africa,9.13
1,2.5,2010.0,57.62,8.207967,Africa,54.55
1,2.5,2011.0,57.35,7.8553679999999995,Africa,55.45
1,2.5,2012.0,54.98,6.75033,Africa,56.4
1,2.5,2013.0,55.45,8.709713,Africa,55.45
1,2.5,2014.0,52.4,8.503022999999999,Africa,53.37
1,2.5,2015.0,52.88,8.164247999999999,Africa,53.85
1,1.5811388300841898,2014.0,27.4,1.8434490000000001,America,47.12
1,1.5811388300841898,2015.0,25.0,1.6932009999999997,America,47.12
1,3.640054944640259,2014.0,13.46,-0.7936411,Africa,13.94
1,3.640054944640259,2015.0,14.42,23.99791,Africa,20.19
1,2.23606797749979,2014.0,33.65,2.296544,Asia&Oceania,50.0
1,2.23606797749979,2015.0,39.42,0.4035329,Asia&Oceania,46.63
1,1.118033988749895,2012.0,9.48,2.186847,Asia&Oceania,9.48
1,1.118033988749895,2013.0,7.58,2.0378580000000004,Asia&Oceania,9.48
1,1.118033988749895,2014.0,5.77,1.846079,Asia&Oceania,8.65
1,1.118033988749895,2015.0,4.81,0.0853699,Asia&Oceania,7.21
0,2.5,2011.0,7.58,4.911331,Asia&Oceania,45.97
0,2.5,2012.0,11.37,8.727542999999999,Asia&Oceania,41.23
0,2.5,2013.0,10.43,4.72539,Asia&Oceania,42.18
0,2.5,2014.0,12.02,21.28077,Asia&Oceania,35.1
0,2.5,2015.0,11.06,7.118786,Asia&Oceania,34.62
1,0.7071067811865476,2009.0,31.58,34.99214,Africa,9.57
1,0.7071067811865476,2010.0,32.86,84.94554000000001,Africa,14.83
1,0.7071067811865476,2011.0,27.49,37.25727,Africa,13.27
1,0.7071067811865476,2012.0,32.7,35.97574,Africa,14.22
1,0.7071067811865476,2013.0,26.54,35.77127,Africa,21.8
1,0.7071067811865476,2014.0,24.04,35.449020000000004,Africa,21.15
1,0.7071067811865476,2015.0,29.81,21.56973,Africa,21.15
1,2.0615528128088303,2011.0,29.86,3.197567,Africa,36.97
1,2.0615528128088303,2012.0,22.27,2.402618,Africa,37.44
1,2.0615528128088303,2013.0,22.27,1.028437,Africa,33.65
1,2.0615528128088303,2014.0,26.44,2.160675,Africa,29.81
1,2.0615528128088303,2015.0,27.4,0.8937703000000001,Africa,30.29
1,2.692582403567252,2012.0,24.17,19.67086,Africa,28.44
1,2.692582403567252,2013.0,21.8,9.321933999999999,Africa,27.49
1,2.692582403567252,2014.0,16.83,10.35722,Africa,24.04
1,2.692582403567252,2015.0,17.31,5.850246,Africa,20.67
1,1.5811388300841898,2010.0,25.24,43.91211,Asia&Oceania,44.02
1,1.5811388300841898,2011.0,26.07,34.75598,Asia&Oceania,44.08
1,1.5811388300841898,2012.0,35.55,16.370079999999998,Asia&Oceania,45.5
1,1.5811388300841898,2013.0,38.39,2.762588,Asia&Oceania,41.71
1,1.5811388300841898,2014.0,37.02,0.8033136,Asia&Oceania,44.71
1,1.5811388300841898,2015.0,37.5,-37.24258,Asia&Oceania,41.83
1,1.5811388300841898,2012.0,34.6,41.80964,Africa,36.02
1,1.5811388300841898,2013.0,34.12,29.47209,Africa,36.97
1,1.5811388300841898,2014.0,29.33,26.14035,Africa,37.02
1,1.5811388300841898,2015.0,24.52,28.399359999999998,Africa,35.1
0,2.23606797749979,2011.0,29.38,12.25863,Africa,33.18
0,2.23606797749979,2012.0,30.81,9.378437,Africa,30.33
0,2.23606797749979,2013.0,33.18,9.967752,Africa,31.28
0,2.23606797749979,2014.0,28.85,7.349613000000001,Africa,26.92
0,2.23606797749979,2015.0,30.77,3.899793,Africa,26.44
1,3.5355339059327378,2011.0,10.9,1.533762,Africa,27.01
1,3.5355339059327378,2012.0,10.9,1.0802399999999999,Africa,26.07
1,3.5355339059327378,2013.0,9.48,0.8189723000000001,Africa,27.01
1,3.5355339059327378,2014.0,8.17,0.6503454000000001,Africa,23.56
1,3.5355339059327378,2015.0,12.5,1.098228,Africa,21.63
1,3.0413812651491097,2014.0,15.87,6.185645,Africa,24.52
1,3.0413812651491097,2015.0,22.6,14.06425,Africa,18.75
1,1.5811388300841898,2012.0,25.59,4.708095,Africa,37.91
1,1.5811388300841898,2013.0,22.75,4.242051,Africa,41.23
1,1.5811388300841898,2014.0,25.48,4.2968589999999995,Africa,41.35
1,1.5811388300841898,2015.0,27.88,2.87868,Africa,40.38
1,1.5811388300841898,2013.0,15.17,1.2034340000000001,Africa,20.38
1,1.5811388300841898,2014.0,18.27,6.305768,Africa,22.6
1,1.5811388300841898,2015.0,25.48,5.79406,Africa,23.08
1,1.5811388300841898,2012.0,47.87,7.4871300000000005,Africa,36.97
1,1.5811388300841898,2013.0,46.45,5.553462000000001,Africa,34.6
1,1.5811388300841898,2014.0,45.19,7.481503,Africa,32.69
1,1.5811388300841898,2015.0,46.15,8.056066,Africa,36.54
