Company,Country (Incorporated),Transparent,State Owned,Ethiscore,US (NYSE/NASDAQ/AMEX),EU Transparency Directive,Accounting Directive ,Norway (Bors/Axess),Toronto (TSX/Venture),Australia (ASX),South Africa (JSE),Hong Kong (HKE),2014 Market Cap ($),P/E 2010,P/E 2011,P/E 2012,P/E 2013,P/E 2014,P/E 2015,P/E 2016,P/E Q3.2017,ROE 2010,ROE 2011,ROE 2012,ROE 2013,ROE 2014,ROE 2015,ROE 2016,ROE Q3.2017,ROIC 2010,ROIC 2011,ROIC 2012,ROIC 2013,ROIC 2014,ROIC 2015,ROIC 2016,ROIC Q3.2017,start
Bhp Billiton Ltd-spon Adr,Australia,Yes,,5.5,Yes,Yes - London (LSE),,,,Yes,Yes (Main),,"169,280,000,000",10.0823,11.3901,17.0687,12.3557,34.2136,20.1199,16.3377,,44.921,25.1435,16.4395,18.4661,2.6544,-10.7259,10.5605,,34.7872,18.7246,13.0208,13.6323,2.7946,-5.6642,7.2071,,2015
Rio Tinto Plc,Great Britain,Yes,,8.5,Yes,"Yes - Brussels, London (LSE)",Yes,,,Yes,,,"98,040,000,000",9.5689,15.9689,18.8249,28.4686,13.2379,8.2255,15.1778,,27.8963,10.5176,-6.1115,7.9296,14.1628,-2.0709,12.0487,,21.3519,8.9676,-2.9939,1.6214,8.9098,-1.1121,8.6144,,2015
Vale Sa,Brazil,Yes,,,Yes,Yes - Spain (Latibex),,,,,,Yes (Main),"70,190,000,000",9.7017,,,1545.2854,118.3071,68.684,,7.6013,28.4621,,,0.0775,0.6476,-31.856,,12.2783,20.9853,,,-0.1406,0.192,-17.7182,,13.138,2015
Glencore-Xstrata ,Jersey,Yes,,7.5,,Yes - London (LSE),,,,,Yes (Main),Yes (Main),"67,000,000,000",,8.4009,40.549,37.1264,25.7332,7.3965,,,26.1733,23.3388,3.3243,-20.002,4.7172,-11.0562,3.2258,,15.5227,10.4148,3.3737,-7.3411,3.2399,-7.2316,2.9199,,2015
China Shenhua Energy Co-a,China,No,Yes,12.5,,,,,,,,Yes (Main),"45,417,000,000",14.1588,12.0844,10.9284,8.4223,9.2979,11.4946,10.4368,6.9104,20.6688,20.8949,20.3425,16.6933,13.6084,5.8951,8.1002,14.9004,16.2434,17.1895,17.1658,14.396,11.8662,6.0135,7.4384,11.9576,0
Freeport-Mcmoran Copper,United States,No,,14,Yes,,,,,,,,"32,120,000,000",12.8912,7.3796,10.3677,14.4353,10.4114,3.0173,30.7461,13.8002,45.5835,32.4025,18.3276,13.816,-6.6699,-93.7086,-59.8602,18.2486,32.0945,28.7394,17.5367,10.6405,-0.7563,-31.2926,-12.316,5.4584,0
Anglo American Plc,Great Britain,Yes,,5.5,,Yes - London (LSE),Yes,,,,Yes (Main),,"29,990,160,000",9.5771,7.2345,6.0331,,,,11.5485,,21.6832,16.8251,-3.833,-2.7742,-8.6524,-26.1667,8.9588,,18.4214,15.6763,-0.0605,1.045,-1.8267,-11.7283,6.3744,,2015
Arcelormittal,Luxembourg,Yes,,13.5,Yes,"Yes - Amsterdam, Paris, Spain(Continuous), Luxembourg",Yes,,,,Yes (Main),,"29,220,000,000",16.7638,15.7866,14.6639,,,,11.9351,7.7005,4.7217,3.7995,-6.4644,-5.3755,-2.364,-23.5933,6.4216,,4.5937,3.9819,-2.3776,-1.5204,0.2845,-13.1521,5.3155,,2015
Nippon Steel and Sumitomo Metal,Japan,No,,14,,,,,,,,,"26,078,650,000",19.7164,20.6674,,13.1984,12.8152,15.2227,17.6196,10.41,5.0307,3.1694,,9.5615,7.569,5.0558,4.5769,7.7159,3.2261,2.1172,,4.9947,4.3861,3.1267,3.0766,4.9919,0
Tenaris Sa,Luxembourg,Yes,,,Yes,Yes - Italy,Yes,,,,,,"25,610,000,000",25.6185,16.3778,,16.7285,15.4355,12.4097,1521.5726,52.2022,11.8704,13.0451,,13.1371,9.2887,-0.6579,0.4808,3.6406,10.2412,12.1779,,12.1956,8.9012,-0.6737,0.5578,3.3783,2015
