,Afghanistan,Angola,Bolivia,Cameroon,Chad,Equatorial Guinea,Gabon,Ghana,Guatemala,Guinea,Guyana,Indonesia,Iraq,Kyrgyz Republic,Liberia,Libya,Mali,Mauritania,Mongolia,Mozambique,Niger,Nigeria,Papua New Guinea,Sierra Leone,Sudan,Tanzania,Togo,Turkmenistan,Uganda,Uzbekistan,Vietnam,Zambia
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,230000.0,2400000.0,19764000.0,,,,,,,,,,-910000.0,,57140000.0,,,800000.0,,300000.0,2720000.0,205000000.0,130000000.0,8200000.0,1660000.0,3070000.0,,,4200000.0,,70000.0,9520000.0
1971,450000.0,1860000.0,1900000.0,,,,,,,,,,-180000.0,,-33960000.0,,-600000.0,4040000.0,,30000.0,-5300000.0,286000000.0,47490000.0,5200000.0,,5150000.0,,,-1200000.0,,1820000.0,8420000.0
1972,150000.0,2160000.0,16205000.0,,,,,,,,,,-90000.0,,20650000.0,,3400000.0,2110000.0,,5500000.0,900000.0,305000000.0,85880000.0,3800000.0,610000.0,7690000.0,,,-11900000.0,,-890000.0,29000000.0
1973,270000.0,7540000.0,4600000.0,,,,,,,,,,-6550000.0,,74840000.0,,600000.0,9850000.0,,4020000.0,1000000.0,373000000.0,112000000.0,6240000.0,260000.0,6030000.0,,,5200000.0,,1030000.0,32000000.0
1974,,6690000.0,44233000.0,,,,,,,,,,-8830000.0,,57710000.0,,-150000.0,3620000.0,,2000000.0,6908881.4,257000000.0,72690000.0,10500000.0,-1160000.0,-2060000.0,-44328181.0,,1700000.0,,1250000.0,38000000.0
1975,,50000.0,61597000.0,,,,,70869955.0,,,,,-44920000.0,,180000000.0,,2613001.8,-123000000.0,,6670000.0,22555805.0,470000000.0,-2230000.0,10100000.0,1300000.0,-870000.0,5212005.4,,2100000.0,,4090000.0,38000000.0
